"X1.simulation.time","X1.simulation.CL","X1.simulation.CK","X1.simulation.CBr","X1.simulation.CS","X1.simulation.Clu","X1.conf_intervals.time","X1.conf_intervals.CL_mean","X1.conf_intervals.CL_lower","X1.conf_intervals.CL_upper"
273,0.00411797261481844,7.06158683205884e-06,1.2901076465128e-05,0.00103368209749006,9.08097941995001e-05,273,0.00411447623688363,0.00404892406766365,0.00417037376761237
274,0.00411874142240748,6.99387693443655e-06,1.29813763820864e-05,0.00103394836606073,9.07325436119953e-05,274,0.00411517945514569,0.00404976185424879,0.00417117057300849
275,0.00411951022999652,6.92616703681425e-06,1.30616762990448e-05,0.0010342146346314,9.06552930244906e-05,275,0.00411577952066965,0.00405060060131067,0.00417147631745906
276,0.00411958946994888,6.91918838915857e-06,1.31512164919711e-05,0.00103424207870522,9.06473311002348e-05,276,0.0041161046426955,0.00405073104564724,0.00417154360243245
277,0.00411964637382004,6.91417691347937e-06,1.32410559906413e-05,0.00103426178691227,9.0641613534801e-05,277,0.00411621146497263,0.00405079605722825,0.0041716054844562
278,0.0041197032776912,6.90916543780016e-06,1.33308954893114e-05,0.00103428149511933,9.06358959693671e-05,278,0.00411626964571707,0.00405086106880926,0.00417166379856739
279,0.00411976018156235,6.90415396212094e-06,1.34207349879815e-05,0.00103430120332639,9.06301784039333e-05,279,0.00411632264955797,0.00405092608039027,0.00417172211267859
280,0.00411981708543351,6.89914248644173e-06,1.35105744866516e-05,0.00103432091153345,9.06244608384995e-05,280,0.00411637488436807,0.00405099109197128,0.00417178042678979
281,0.00411987398930467,6.89413101076252e-06,1.36004139853217e-05,0.00103434061974051,9.06187432730657e-05,281,0.00411642398205516,0.00405105610355229,0.00417183874090099
282,0.00411993089317583,6.88911953508331e-06,1.36902534839918e-05,0.00103436032794757,9.06130257076318e-05,282,0.00411646557810127,0.0040511211151333,0.00417184319934119
283,0.00411994306295791,6.88804753799649e-06,1.37793475028125e-05,0.00103436454268365,9.06118025976583e-05,283,0.0041164943236543,0.0040511364462426,0.00417184417681733
284,0.00411994351122799,6.88800778827609e-06,1.38682461862371e-05,0.00103436469772142,9.06117571536382e-05,284,0.00411650762359206,0.00405113698513575,0.00417184515429346
285,0.00411994395949806,6.8879680385557e-06,1.39571448696616e-05,0.00103436485275918,9.0611711709618e-05,285,0.00411651243972924,0.00405113752402891,0.004171845976928
286,0.00411994440776813,6.88792828883531e-06,1.40460435530862e-05,0.00103436500779695,9.06116662655979e-05,286,0.00411651405691338,0.00405113806292206,0.00417184642301869
287,0.00411994485603821,6.88788853911491e-06,1.41349422365107e-05,0.00103436516283471,9.06116208215778e-05,287,0.00411651478528264,0.00405113860181522,0.00417184686910937
288,0.00448358166794464,6.88784878939452e-06,1.42238409199353e-05,0.00103436531787248,9.06115753775577e-05,288,0.00448015163887636,0.00441477550434474,0.00453548367883642
289,0.00439447501512972,1.3525008655105e-05,1.52585260161006e-05,0.00109672902526341,0.000105080372478425,289,0.00438958146974361,0.0043089263316378,0.00446112848963524
290,0.00442983433506694,1.04078324134049e-05,1.48738854303449e-05,0.00110897914325685,0.000101523668343797,290,0.0044268331724077,0.00434969338574993,0.00449500225409762
291,0.00444840485661632,8.77118050006671e-06,1.47185734621008e-05,0.00111541233142174,9.96562985974308e-05,291,0.00444453892870252,0.00437158736513569,0.00450872300999344
292,0.00445699931428521,8.01427024155834e-06,1.46995307422606e-05,0.00111838904448835,9.87927474319685e-05,292,0.00445305095205756,0.00438115656667208,0.0045151459284275
293,0.00445886386947525,7.85004857548097e-06,1.47721400249637e-05,0.0011190348250488,9.86053844137645e-05,293,0.0044548205682572,0.00438386539972209,0.00451614115204493
294,0.00445944622572339,7.79874751835395e-06,1.48622110912592e-05,0.00111923651014094,9.85468505620546e-05,294,0.00445548885355696,0.00438444295730629,0.00451646973741477
295,0.00446002858197153,7.74744646122693e-06,1.49522821575547e-05,0.00111943819523308,9.84883167103447e-05,295,0.00445615706969063,0.00438504768344171,0.00451679832278462
